18,89,0,4.94,0,0,6,1,47,Technical Skills
176,758,16,4.31,47.38,66,83,6,681,Technical Skills
39.5,193,2,4.85,96.5,119.5,15,1,115,Technical Skills
833.5,4306,164,5.16,26.26,30.51,425,65,2799,Technical Skills
21,54,0,2.57,0,0,4,1,94,Technical Skills
163,816,16,5.01,51,61.12,50,3,495,Technical Skills
49.3,337,5,6.81,67.4,59.4,46,2,144,Technical Skills
23,138,5,6,27.6,27.6,16,3,75,Technical Skills
67,387,9,5.78,43,44.67,26,7,163,Technical Skills
34.4,203,5,5.86,40.6,41.6,13,6,95,Technical Skills
12,66,0,5.5,0,0,2,2,28,Technical Skills
405.1,1864,53,4.6,35.17,45.87,100,37,1245,Technical Skills
24.4,129,5,5.23,25.8,29.6,13,4,94,Technical Skills
83,474,6,5.71,79,83,26,7,203,Technical Skills
51,213,11,4.18,19.36,27.82,13,3,172,Technical Skills
48,206,4,4.29,51.5,72,9,4,145,Technical Skills
12,88,0,7.33,0,0,10,1,31,Technical Skills
56,260,3,4.64,86.67,112,20,5,184,Technical Skills
86.4,519,20,5.99,25.95,26,51,9,283,Technical Skills
8.5,69,3,7.81,23,17.67,11,0,30,Technical Skills
216.4,955,42,4.41,22.74,30.95,78,14,805,Technical Skills
28.1,174,6,6.18,29,28.17,9,5,70,Technical Skills
390.5,2340,63,5.99,37.14,37.22,249,40,1215,Technical Skills
3,10,0,3.33,0,0,0,0,9,Technical Skills
421.1,2197,59,5.22,37.24,42.83,190,38,1482,Technical Skills
13.3,88,3,6.52,29.33,27,5,4,34,Technical Skills
70,481,6,6.87,80.17,70,54,11,206,Technical Skills
221,929,38,4.2,24.45,34.89,82,20,851,Technical Skills
290.2,1408,35,4.85,40.23,49.77,85,25,854,Technical Skills
30.4,144,2,4.7,72,92,10,2,91,Technical Skills
10,59,0,5.9,0,0,6,1,34,Technical Skills
40,172,3,4.3,57.33,80,17,1,142,Technical Skills
5,30,0,6,0,0,2,2,19,Technical Skills
13.2,75,1,5.62,75,80,5,1,32,Tactics and Strategy
86.4,381,12,4.4,31.75,43.33,36,1,317,Technical Skills
9,30,4,3.33,7.5,13.5,2,2,41,Technical Skills
115.5,542,32,4.68,16.94,21.72,51,5,428,Technical Skills
36,207,2,5.75,103.5,108,11,8,103,Technical Skills
209.2,988,24,4.72,41.17,52.33,72,16,629,Technical Skills
1,7,0,7,0,0,1,0,3,Tactics and Strategy
121.1,550,12,4.54,45.83,60.58,42,15,414,Technical Skills
59,324,5,5.49,64.8,70.8,27,5,157,Technical Skills
8,51,0,6.38,0,0,5,0,20,Technical Skills
577.5,3221,110,5.57,29.28,31.52,371,31,2100,Technical Skills
3,21,0,7,0,0,2,1,10,Technical Skills
115.1,708,22,6.15,32.18,31.41,70,17,346,Technical Skills
47.5,231,8,4.83,28.88,35.88,8,7,161,Technical Skills
275.1,1387,44,5.04,31.52,37.52,178,12,1017,Technical Skills
44,224,5,5.09,44.8,52.8,20,6,141,Technical Skills
101.2,582,12,5.74,48.5,50.67,65,8,372,Technical Skills
35,172,2,4.91,86,105,16,3,122,Technical Skills
4,16,0,4,0,0,1,0,14,Technical Skills
10.5,55,1,5.08,55,65,2,0,28,Tactics and Strategy
17.5,85,2,4.77,42.5,53.5,12,0,69,Technical Skills
7,29,0,4.14,0,0,0,0,18,Technical Skills
64.5,233,10,3.59,23.3,38.9,22,1,251,Technical Skills
16,95,0,5.94,0,0,7,2,42,Technical Skills
8,27,1,3.38,27,48,0,1,31,Tactics and Strategy
10,56,2,5.6,28,30,8,1,34,Technical Skills
24.5,131,4,5.28,32.75,37.25,7,4,76,Technical Skills
183.5,931,20,5.06,46.55,55.15,64,12,513,Technical Skills
